fighter_name,height,weight_lbs,reach_inches,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,age
Joe Warren,66.0,135.0,72.0,2.15,46,2.39,52,6.14,46,60,0.0,49.84804928131417
Kazuhisa Watanabe,66.0,139.0,72.0,0.62,50,0.94,0,0.0,0,14,0.0,43.304585900068446
Merritt Warren,70.0,155.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Idris Wasi,72.0,186.0,72.0,0.4,31,3.53,46,0.0,0,20,0.0,36.73648186173853
Andy Waters,72.0,170.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,41.57426420260096
Ron Waterman,74.0,280.0,72.0,0.84,50,1.37,42,4.19,69,50,2.8,60.785763175906915
Dominic Waters,73.0,170.0,79.0,0.48,23,2.53,39,4.07,52,28,0.0,37.40451745379877
Trey Waters,77.0,170.0,77.0,6.39,44,5.83,55,0.4,33,85,0.8,31.540041067761805
Sam Watford,70.0,155.0,72.0,0.13,18,0.73,62,2.0,40,60,1.0,39.59753593429158
Michelle Waterson-Gomez,63.0,115.0,62.0,3.42,46,4.25,48,1.39,33,69,0.6,40.6652977412731
Blake Watkins,70.0,185.0,72.0,5.45,62,7.64,61,0.0,0,0,0.0,39.59753593429158
Kyle Watson,72.0,155.0,72.0,3.67,35,3.25,62,0.0,0,100,0.0,47.07734428473648
Maka Watson,70.0,155.0,72.0,0.93,37,1.6,22,2.0,100,33,0.0,41.95482546201232
Walel Watson,71.0,135.0,75.0,2.1,29,3.79,43,0.0,0,61,1.4,42.1409993155373
Enrique Watson,70.0,185.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Jonavin Webb,70.0,170.0,72.0,1.47,30,2.27,64,2.5,31,40,1.0,37.35797399041752
Brok Weaver,72.0,155.0,73.0,4.78,64,4.35,46,0.41,10,66,0.4,34.75427789185489
Tom Watson,73.0,185.0,73.0,4.01,44,4.41,50,0.15,7,43,0.0,44.15058179329227
Stephanie Webber,66.0,135.0,72.0,0.91,80,3.85,15,6.79,40,0,0.0,39.59753593429158
Daniel Weichel,70.0,145.0,70.0,5.71,42,4.05,61,0.84,50,83,0.0,41.78781656399726
Darian Weeks,71.0,170.0,72.0,4.49,51,4.56,51,2.0,30,100,0.0,32.785763175906915
Joshua Weems,68.0,135.0,69.0,5.25,64,3.34,61,4.77,40,100,0.0,32.33949349760438
Royston Wee,67.0,135.0,67.0,1.1,60,2.45,49,3.38,81,0,0.0,39.80835044490075
Mark Weir,74.0,185.0,72.0,1.54,56,2.5,38,0.8,50,25,2.4,58.965092402464066
Chris Weidman,74.0,185.0,78.0,3.11,45,3.37,51,3.27,42,72,0.8,42.220396988364136
Aaron Wetherspoon,70.0,170.0,72.0,2.27,32,4.33,45,0.0,0,77,0.0,47.65229295003422
Mike Wessel,72.0,260.0,72.0,1.82,56,6.43,22,6.29,50,0,0.0,48.761122518822724
Jeremiah Wells,69.0,170.0,74.0,2.35,46,1.28,48,3.06,46,50,1.3,39.85215605749487
Sheldon Westcott,73.0,170.0,71.0,2.26,40,3.73,37,3.23,37,14,0.0,42.04517453798768
Dustin West,71.0,170.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Fabricio Werdum,76.0,231.0,77.0,3.59,52,2.64,55,1.75,31,31,1.2,49.10335386721424
Coty Wheeler,66.0,135.0,67.0,1.88,22,3.16,59,0.87,37,33,2.6,47.90417522245038
Malcolm Wellmaker,70.0,135.0,71.0,4.58,55,4.23,52,0.0,0,46,0.0,32.257357973990416
Christian Wellisch,74.0,234.0,77.0,3.12,27,3.04,56,1.22,42,45,1.2,50.98151950718686
Vernon White,72.0,205.0,72.0,2.11,38,2.2,54,0.88,28,44,0.0,54.75975359342916
Craig White,74.0,170.0,76.0,1.23,40,3.28,39,0.0,0,50,0.8,36.18343600273785
Steve White,71.0,175.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Robert Whiteford,69.0,145.0,69.0,2.33,46,1.99,62,1.9,30,45,0.0,43.403148528405204
Patrik White,72.0,155.0,72.0,9.77,49,6.28,60,0.0,0,50,0.0,33.23750855578371
Alex White,72.0,155.0,71.0,3.76,42,3.07,60,0.92,28,71,0.5,37.87268993839836
Garett Whiteley,72.0,155.0,72.0,3.72,48,4.04,46,0.0,0,27,0.9,45.73032169746749
Mitch Whitesel,69.0,185.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,45.152635181382614
Emily Whitmire,65.0,125.0,63.0,2.5,31,2.98,54,1.9,66,70,0.5,35.28815879534565
Mike Whitehead,73.0,205.0,72.0,1.62,33,2.36,59,3.59,43,77,0.3,45.18822724161533
Robert Whittaker,72.0,205.0,73.0,4.41,43,3.4,59,0.71,38,80,0.0,35.71252566735113
Justin Wilcox,66.0,155.0,72.0,3.82,28,2.63,71,1.43,16,100,0.0,47.488021902806295
Orlando Wiet,70.0,170.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,60.86789869952088
Adam Wieczorek,77.0,250.0,81.0,1.68,38,1.87,48,0.41,33,58,0.4,34.5845311430527
Josh Wick,69.0,155.0,69.0,0.65,60,6.52,41,0.0,0,80,0.0,31.923340177960302
Jonathan Wiezorek,75.0,250.0,72.0,1.27,58,5.47,31,1.91,20,0,0.0,48.56947296372348
Jakub Wiklacz,70.0,135.0,72.0,3.4,44,3.87,46,0.0,0,41,2.5,29.987679671457904
